,platform_num,date,content
92,4,2021-02-25,질문)형들 산업공학과는 도대체 뭐하는 학과임? 취업잘됨?
93,4,2020-10-11,인천대 산업공학과정도면 괜찮아??
94,4,2020-03-09,산업공학과가 ㄱㅊ은편이긴 한데
95,4,2021-11-28,"도메인으로 산업공학과,컴공은 어떻게 생각함?"
96,4,2019-02-12,아주대 산업공학과
97,4,2019-02-13,산업공학과이면 준메 아님 비메??
98,4,2020-06-19,산업공학과인데 자격증 뭐따야됨?
99,4,2020-03-19,산업공학과 복수전공
100,4,2019-01-28,[속보] 서울대 산업공학과 ((울학교 이과반))
101,4,2020-12-30,산업공학과 아시는분
102,4,2019-02-18,산업공학과는 준메냐 비메냐??
103,4,2021-08-01,님들 산업공학과는 뭐배우는 학과임? 취업 잘되나요??
104,4,2019-09-03,산업공학과에서 기계로 전과했는데
105,4,2021-01-22,산업공학과가 학교네임이 올라갈수록 ㅅㅌㅊ과됨
106,4,2019-05-12,저는 산업공학과이고 경영학과 파이썬을 배웁니다.
107,4,2021-08-27,산업공학과는 인강이 없나...?
108,4,2021-04-26,산업공학과나온 자갤럼있냐?
109,4,2021-12-20,부산대 산업공학과 편입 나중에 넣을생각인데
110,4,2020-02-10,혹시 산업공학과이신분 계신가요??
111,4,2019-01-30,산업공학과면 공대 ㅍㅌㅊ 학과냐?
112,4,2020-02-27,여기 산업공학과어때?
113,4,2020-02-14,형들 산업공학과는 도대체 뭘배우는 학과임?
114,4,2021-12-18,산업데이터공학과<<<<뭐배우는 학과임?
115,4,2019-01-30,산업공학과면 ㅍㅌㅊ공대야?
116,4,2021-05-15,안녕하세요 산업공학과 새내기입니다
117,4,2019-05-17,프갤에 산업공학과 있습니까?
118,4,2020-07-20,산업경영공학과 안전기사 땄는데 다음엔 뭐 따는게 좋음?
119,4,2019-01-31,과기대 산업공학과 vs 전남대 산업공학과
120,4,2020-11-13,산업공학과랑 자영업이랑 관련 조금이라도 있노?
121,4,2019-09-13,생물산업공학과 어때요???
122,4,2020-03-08,산업공학과는 기사 뭐따야하냐.. 공기업가고싶은데
123,4,2021-11-07,고려대 산업공학과로 가자
124,4,2022-01-24,●스마트드론공학과(4차산업 정부설립학과) 신설
125,4,2021-11-24,산업공학과(산업경영공학과)갈거면 그냥 경영경제가 더 좋나?
126,4,2022-01-23,●스마트드론공학과(4차산업 정부설립학과) 신설
127,4,2022-01-23,●스마트드론공학과(4차산업 정부설립학과) 신설
128,4,2020-10-22,산업시스템공학과 재학중인데
129,4,2021-02-08,부자가 되려면 산업공학과가라
130,4,2019-09-09,산업공학과 금오공대vs상명대(천안캠)
131,4,2022-01-22,●스마트드론공학과(4차산업 정부설립학과) 신설
132,4,2022-01-21,●스마트드론공학과(4차산업 정부설립학과) 신설
133,4,2022-01-16,근데 산업공학과 잘나감???
134,4,2022-01-24,●AI자율주행시스템공학과(4차산업 정부설립학과) 신설
135,4,2022-01-23,●AI자율주행시스템공학과(4차산업 정부설립학과) 신설
136,4,2022-01-23,●AI자율주행시스템공학과(4차산업 정부설립학과) 신설
137,4,2022-01-20,산업공학과 전과면접 빡세네요 ㄷㄷ
138,4,2022-01-22,●AI자율주행시스템공학과(4차산업 정부설립학과) 신설
139,4,2020-12-24,산업경영공학과가 갈만한 공기업은 없나?
140,4,2022-01-21,●AI자율주행시스템공학과(4차산업 정부설립학과) 신설
141,4,2022-01-05,올해 산업공학과는 걍 역대급 대폭발이네 진짜
142,4,2020-11-22,산업시스템 공학과 전과
143,4,2021-12-28,itm과로 전과하고 싶어서 산업공학과 가는게 도움됨?? 
144,4,2019-12-17,명전 산업경영공학과 야간 붙었는데 걍 유한대 기계과 갈까?
145,4,2019-12-14,산업공학과 자체는 문제 없음
146,4,2021-10-04,산업공학과에서 sw개발 쪽으로 가신 분들 계신가요?
147,4,2019-09-01,영남대 경영학과 금오공대 산업공학과 비교점여
148,4,2019-09-01,영남대 경영학과 금오공대 산업공학과 비교점여
149,4,2022-01-14,숭실대 기계공학과 vs 아주대 산업공학과
150,4,2021-11-29,글로벌산업정보시스템공학과  02학번 선배다
151,4,2020-04-18,산업경영공학과 진심 ㅆㅆㅆㅅㅌㅊ 과인데 ㅋㅋ
152,4,2022-01-23,산업공학과랑 기계공학과중에 어디가 더 입결 높음?
153,4,2019-04-26,형들 산업공학과 어떰??
154,4,2021-01-22,근데 산업공학과가 학교내에서 ㅆㅎㅌㅊ과냐 ㅍㅌㅊ과냐
155,4,2022-01-03,부산대 산업공학과 취업 현황
156,4,2021-12-11,서경대 경영 말고 금오공대 산업공학과 넣어보까
157,4,2021-03-16,화학공학과 vs 산업공학과
158,4,2021-12-19,산업공학과는 뭐 하는 과임? 취직 잘 됨?
159,4,2021-10-18,산업공학과에서 it로 취업하신 분 계신가요?
