,platform_num,date,content
15,7,2020-06-03,"산업공학과님들 직무 어디로 준비하고 계신가요??? 아직도 저는 모르겠네요. 그나마 생각하고 있는 거는 기획, SCM, 생산&품질 인데품질같은 경우는 대학생때도 못했던 분야인데 이걸로 취업을 해도 되는지 모르겠네요★5/30 GSAT 합격전략&후기모음 NCS 모듈형 완벽 대비하는 방법 대기업 재직자가 취준생에게 드리는 조언 기업별 인적성교재 총정리 10초면 끝나는 독취사 초고속 등업 위의 글들은 독취사 스텝/회원님들이 써주신 소중한 자료입니다.게시글의 저작권은 작성자와 독취사에 있으며, 독취사에서 제작하는 자료 등에 활용될 수 있습니다.무단 복제, 가공 및 도용은 저작권 침해로 법적 책임을 물을 수 있습니다."
16,7,2020-03-25,"안녕하세요!인서울 중하위권 산업공학과 2학년 끝내고 전역 1년남은 현역 군인입니다. 입시때 산공 지원할때는 경영컨설턴트 보고 지원했습니다. 수시 면접때도 어떠한 문제점에 대해 분석하고 해결책을 제시해서 남들한테 발표하고 내 생각을 이야기하는 것을 좋아한다고, 이런식으로 얘기해서 붙었습니다. 실제로도 프리젠테이션 같은거 좋아하기도 하고요. 그런데 막상 찾아보니 컨설팅 회사는 외국계가 많고, 인서울 중하위권으로는 어려우며, 컨설턴트를 준비한다 해도 학부생 수준에서 어떠한 스펙을 준비해야할지 모르겠습니다.그래서 현재 네이버 유튜브 카페 책 등등 많이 찾아보던 중에 OR쪽으로 가는게 제 적성에 맞다는 생각이 들었습니다. 그런데 찾아보니 학부생으로 (대학원은 갈 생각 아직은 없습니다,,) OR은 어렵다고 하는 것 같더군요. 그래서 남들 많이 가는 뭐 생산관리, 품질관리나 it 등으로 눈을 돌리고 있는데 그나마 눈을 끄는 것은 it인것 같아요. 물론 아직 얇디 얄팍한 지식이지만 아직 복학까지 1년정도 남았으니 it쪽부터 알아보고 준비해보려고 합니다. 1. 저처럼 산업공학과 전공 학부생이 it쪽을 준비한 경우가 그냥 컴공을 준비한 학생들보다 it쪽 지식이 훨씬 부족할 것이라고 예상됩니다. 어떤 식으로 공부를 해 나가야 컴공과 학생들과는 다른 스펙을 만들 수 있을까요?2. 산공 진로 중 한 부분이 데이터를 활용한 부분이라고 들었습니다. it와 밀접한 관련이 있는 것 같은데 산업공학과 입장에서 비슷한 개념이라고 봐도 될까요?3. 2학년때 전공수업으로 java를 배웠는데 인강보고 유튜브 보고 맨날 수업에서도 제일 늦게가며 조교들한테 질문해가며 겨우겨우 A0맞았습니다. 이때 솔직히 코딩 재밌기는 한데 뭔가 내가 창의적인 아이디어가 부족하구나, 이런 생각이 들었습니다.  이런 제가 it쪽을 준비해도 될까요,,,,?4. 학교에서 연계전공으로 프로그래밍쪽을 신청할 수 있는 것으로 알고 있습니다. (자세히 알아봐야 하는 부분이지만) 그냥 제 개인적으로 자격증 준비하는 것처럼 C java R 파이썬 등을 공부하는 게 좋을까요 아니면 복학해서 본격적으로 학교 수업에서도 공부하는 게 좋을까요?5. 아니면 그냥 군생활중에는 닥치고 토익 한국사 이런거나 준비할까요.. 제2외국어도 일본어 or 중국어 중 고민중이긴 합니다. 개인적으로 일본어는 예전에 일본어 선생님이었던 저희 엄마 덕으로 조금 합니다. (JLPT같은 자격증은 아직 없음) 2학년때까지는 남들 다 듣는거 듣고 있었는데 대외활동도 없고 자격증이라고는 초딩때 딴 워드1급과 작년에 딴 컴활1급, 제작년에 토익 850, 학점 3.96(그나마 이게 다행이라고 생각합니다) 밖에 없네요,,산업공학과 과 소개나 전공이 지향하는 목표를 봤을 때 제 성향과는 잘 맞는다고 생각했는데 취업생각하니 쉽지가 않은 것 같습니다. 현실적인 조언 부탁드립니다. ㅜ 감사합니다.주요 대기업 ""비대면 면접 진행"" GSAT 5월 진행 전망 학벌 생각보다 안보는 것 같습니다. 기업별 인적성교재 총정리 10초면 끝나는 독취사 초고속 등업 위의 글들은 독취사 스텝/회원님들이 써주신 소중한 자료입니다.게시글의 저작권은 작성자와 독취사에 있으며, 독취사에서 제작하는 자료 등에 활용될 수 있습니다.무단 복제, 가공 및 도용은 저작권 침해로 법적 책임을 물을 수 있습니다."
17,7,2021-01-06,"📍다른 회원의 게시글에 무분별한 비난 댓글 작성시  예고없이 무기한 활동정지 또는 강퇴될 수 있습니다.  　  💌취업전문가와 함께하는 2022 독취사 고민상담소  사연 접수하기▶ https://bit.ly/3FRpKHP... 더보기








👔 현재 나의 스펙은?​- 학교/전공/학점 :부산대학교 / 산업공학과 / 4.1- 어학점수 : 토익 900(취업때 다시 따야합니다.)- 자격증 : 컴활1급 , 한국사 2급- 경력사항(알바,인턴 등) : 알바 한 4개 했습니다.- 대외활동/공모전 : 아직 안 했습니다,- 수상경력 : 부끄럽지만 아직 없습니다. - 기타사항 : - 추가 계획 : 아직 자격이 충족안되서 기사 자격증을 못 따지만 딸 예정이고 사조사 2급도 생각중입니다.학교에서 빅데이터 연계전공을 듣고 있습니다.​​​👔 입사 희망 회사/부서/직무 (하나만 선택해도 OK)스마트팩토리 관련 부서와 회사로 가고 싶습니다.희망하는 부서는 반도체 혹은 데이터 분석입니다.​​👔 취업카페 회원수 1위, 독취사 회원님들에게 받고 싶은 조언은?예시) 1. 무엇을 더 준비해야 할까요? 2. 어디로 취업해야 할 지 모르겠어요.​방학이 한 달 정도 남았고 그 때동안 무엇을 할지 고민입니다.이제 3학년 올라가는데 대외활동과 공모전 그리고 동아리를 할껀데 어느 대외활동과 공모전을 해야할까요?​​📣 독취사에 남긴 게시글에 관한 저작권 등의 모든 권리는 작성자와 독취사에 있으며,독취사는 게시글을 활용하여 자료 제작 등에 활용할 수 있습니다. ​또한 본 게시글의 무단 도용 및 복제를 엄격히 금지하고 있으며,이를 위반하는 경우 저작권법 등 관련 법률에 따라 법적 제재를 받을 수 있습니다."
18,7,2019-05-15,제목 그대로 지방 산업공학과인데 점점 취준할때마다 산공을 보는 직무가 생각보다 없어서우울해지네요 그래도 찾아보면 취뽀할 수 있겠죠? ㅎ
19,7,2019-08-19,산업공학과 출신인데 물류 쪽으로 많이 진출하나요? 그리고 품질경영기사가 도움이 될까요..?
20,7,2020-12-02,"{'reply': '자격증은 충분한것같고 영어만 조금 더 올리시면 될듯합니다 토스 LV7이나 오픽 IH 목표로', 'thread': '1-0'}"
21,7,2020-12-02,"{'reply': '공기업 어디로 목표하시나요', 'thread': '2-0'}"
22,7,2020-12-02,"{'reply': '위에 써놯습니다.. 조폐 ㅠㅠ', 'thread': '2-1'}"
23,7,2020-12-02,"{'reply': '안녕하세요 산업공학과 학생입니다.혹시 조폐공사말고 준비하는 다른 공기업 있나요?산업공학과가 갈만한 공기업 찾기가 힘드네요', 'thread': '3-0'}"
24,7,2020-12-02,"{'reply': '안전쪽은 안전공학이 수월해서 포기했고 ..;가실려면.. 사무나 경영지원 쪽으로 가시거나 다른 기사 하나 더 따셔서 전기 기계 화공으로 가는 방법이 있습니다', 'thread': '3-1'}"
